cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count,topic
8893.0,GB,Melinda Mills,47.0,https://openalex.org/A5018053342,https://api.openalex.org/works?filter=author.id:A5018053342,263.0,Sociology
16568.0,US,M. Elizabeth Halloran,55.0,https://openalex.org/A5009012039,https://api.openalex.org/works?filter=author.id:A5009012039,232.0,Medicine
3399.0,QA,Zubair Shah,23.0,https://openalex.org/A5081437624,https://api.openalex.org/works?filter=author.id:A5081437624,281.0,Medicine
5405.0,US,Tina Eliassi-Rad,29.0,https://openalex.org/A5080731595,https://api.openalex.org/works?filter=author.id:A5080731595,208.0,Computer science
3443.0,GB,Roger Vickerman,27.0,https://openalex.org/A5006191616,https://api.openalex.org/works?filter=author.id:A5006191616,279.0,Economics
7824.0,US,J.C.-I. Chuang,30.0,https://openalex.org/A5000178382,https://api.openalex.org/works?filter=author.id:A5000178382,202.0,Computer science
15008.0,CH,Eszter Hargittai,52.0,https://openalex.org/A5041732716,https://api.openalex.org/works?filter=author.id:A5041732716,226.0,Computer science
6017.0,GB,Gary Abel,44.0,https://openalex.org/A5029437177,https://api.openalex.org/works?filter=author.id:A5029437177,258.0,Medicine
7260.0,US,Gregory Mills,31.0,https://openalex.org/A5047129306,https://api.openalex.org/works?filter=author.id:A5047129306,220.0,Computer science
1296.0,JP,Keiichi Satoh,15.0,https://openalex.org/A5039755793,https://api.openalex.org/works?filter=author.id:A5039755793,196.0,Engineering
12891.0,SG,José M Valderas,51.0,https://openalex.org/A5022527000,https://api.openalex.org/works?filter=author.id:A5022527000,250.0,Medicine
5104.0,US,Laura Germine,31.0,https://openalex.org/A5026936959,https://api.openalex.org/works?filter=author.id:A5026936959,187.0,Psychology
2489.0,AU,Colin Klein,29.0,https://openalex.org/A5077337094,https://api.openalex.org/works?filter=author.id:A5077337094,158.0,Biology
2772.0,JP,Ken’ichi Ohtsubo,29.0,https://openalex.org/A5017892262,https://api.openalex.org/works?filter=author.id:A5017892262,183.0,Biology
14270.0,GB,Sebastian Funk,34.0,https://openalex.org/A5058699536,https://api.openalex.org/works?filter=author.id:A5058699536,167.0,Medicine
10156.0,LU,Joël Mossong,41.0,https://openalex.org/A5019725601,https://api.openalex.org/works?filter=author.id:A5019725601,138.0,Medicine
2328.0,US,Bruce Blumberg,22.0,https://openalex.org/A5000107760,https://api.openalex.org/works?filter=author.id:A5000107760,124.0,Computer science
